sub:		AY		BY		BX		AX		AllTasks
ya12:		1.0		1.0		1.0		0.996		0.996
ya15:		0.5		0.825		1.0		0.879		0.879
ya16:		0.925		1.0		1.0		0.989		0.989
ya17:		0.4		0.95		1.0		0.879		0.879
ya18:		0.952		0.955		1.0		0.978		0.978
ya19:		0.875		0.975		1.0		0.986		0.986
ya2:		0.95		1.0		1.0		0.993		0.993
ya20:		0.95		1.0		1.0		0.982		0.982
ya22:		0.875		0.95		1.0		0.975		0.975
ya3:		1.0		1.0		1.0		0.986		0.986
ya5:		0.9		0.925		1.0		0.929		0.929
ya6:		0.875		1.0		1.0		0.993		0.993
ya7:		0.775		0.875		1.0		0.893		0.893
ya8:		0.925		0.875		0.975		0.875		0.875
ya9:		0.95		0.975		0.975		0.911		0.911
