sub:		LRelTar		LUnrTar		LUnrFil		LAnTar		HRelTar		HUnrTar		HRelFil		HUnrFil		HAnTar		LAnPr		HAnPr		AllTasks
ya1:		1.0		0.975		0.975		0.975		1.0		1.0		0.994		0.988		1.0		0.95		0.95		0.969
ya10:		0.975		0.95		0.946		0.55		1.0		1.0		0.95		0.95		0.75		0.5		0.8		0.608
ya12:		1.0		1.0		0.996		0.95		1.0		1.0		0.981		0.988		1.0		0.95		0.975		0.969
ya13:		1.0		1.0		1.0		0.0		1.0		1.0		1.0		1.0		0.0		0.0		0.0		0.0
ya14:		1.0		1.0		1.0		0.0		1.0		1.0		1.0		1.0		0.0		0.0		0.0		0.0
ya15:		1.0		1.0		0.983		0.9		0.975		0.95		1.0		0.975		0.975		0.825		0.975		0.919
ya16:		1.0		1.0		0.983		0.975		1.0		1.0		0.975		0.988		0.9		0.975		0.975		0.956
ya17:		1.0		0.975		0.988		0.775		1.0		0.975		0.981		0.975		0.8		0.85		0.9		0.831
ya18:		1.0		1.0		0.979		0.95		0.975		0.95		0.988		0.975		0.975		1.0		0.9		0.956
ya19:		1.0		1.0		0.975		0.975		1.0		1.0		0.988		0.975		0.95		0.925		0.925		0.944
ya2:		0.975		0.975		1.0		0.95		0.975		1.0		0.994		0.988		1.0		1.0		0.975		0.981
ya20:		1.0		1.0		0.992		1.0		1.0		0.95		1.0		0.975		1.0		0.975		1.0		0.994
ya22:		1.0		1.0		0.992		0.975		1.0		1.0		0.994		0.988		1.0		1.0		1.0		0.994
ya3:		1.0		0.96		0.997		0.78		1.0		1.0		1.0		0.975		0.95		0.78		0.975		0.861
ya4:		0.975		0.975		0.988		0.9		0.925		1.0		0.994		0.988		0.925		0.975		0.875		0.919
ya5:		0.975		1.0		0.988		0.975		1.0		1.0		0.988		0.95		0.925		1.0		0.975		0.969
ya6:		1.0		1.0		0.983		1.0		1.0		1.0		0.981		1.0		1.0		0.975		1.0		0.994
ya7:		1.0		1.0		0.95		0.825		1.0		1.0		0.994		0.975		0.95		0.75		0.925		0.863
ya8:		0.975		0.975		0.992		0.925		0.975		1.0		0.988		0.988		0.9		0.95		0.95		0.931
ya9:		0.975		0.975		0.979		0.9		1.0		1.0		0.981		0.988		0.775		0.85		0.8		0.831
