sub:		DirRel		IndRel		Unrel		InsPr		InsTar		AllTasks
ya1:		1.0		1.0		0.969		0.85		1.0		0.925
ya10:		1.0		0.969		0.969		0.25		0.6		0.425
ya12:		1.0		0.984		0.953		0.9		1.0		0.95
ya13:		1.0		1.0		1.0		0.0		0.0		0.0
ya15:		0.984		0.953		0.938		0.6		0.85		0.725
ya16:		0.984		0.984		0.953		0.65		0.8		0.725
ya17:		0.969		1.0		0.984		0.6		0.8		0.7
ya18:		0.984		1.0		0.969		0.5		0.9		0.7
ya19:		0.984		1.0		1.0		0.05		0.9		0.475
ya2:		1.0		0.984		0.968		0.9		1.0		0.95
ya20:		1.0		1.0		0.984		0.95		0.95		0.95
ya22:		1.0		1.0		0.984		0.8		0.95		0.875
ya3:		1.0		0.984		0.969		0.75		0.9		0.825
ya4:		0.984		1.0		0.984		0.65		0.9		0.775
ya5:		0.969		1.0		0.953		0.6		1.0		0.8
ya6:		0.984		1.0		1.0		0.9		1.0		0.95
ya7:		0.984		0.969		1.0		0.45		0.85		0.65
ya8:		1.0		0.984		0.953		0.6		1.0		0.8
ya9:		1.0		1.0		1.0		0.35		0.8		0.575
